Kecamatan,Wilayah,Tahun,Prediksi_Penduduk,Prediksi_Timbulan_Sampah,PDRB_proj,IPM_proj,Miskin_proj,Kategori,latitude,longitude
TANJUNGSARI,ANTAJAYA,2026,6841,3088.87,59.0314,74.79,6.2986,Rendah,-6.589,107.17
TANJUNGSARI,ANTAJAYA,2027,6966,3446.53,61.485,75.4918,6.1146,Rendah,-6.589,107.17
TANJUNGSARI,ANTAJAYA,2028,7093,3962.73,63.9386,76.1936,5.9307,Rendah,-6.589,107.17
TANJUNGSARI,ANTAJAYA,2029,7223,4349.44,66.3921,76.8954,5.7468,Rendah,-6.589,107.17
TANJUNGSARI,ANTAJAYA,2030,7355,4845.94,68.8457,77.5971,5.5629,Rendah,-6.589,107.17
CIGUDEG,ARGAPURA,2026,13127,5240.57,59.0314,74.79,6.2986,Sedang,-6.463,106.49
CIGUDEG,ARGAPURA,2027,13444,5681.71,61.485,75.4918,6.1146,Sedang,-6.463,106.49
CIGUDEG,ARGAPURA,2028,13769,6173.8,63.9386,76.1936,5.9307,Tinggi,-6.463,106.49
CIGUDEG,ARGAPURA,2029,14102,6434.81,66.3921,76.8954,5.7468,Tinggi,-6.463,106.49
CIGUDEG,ARGAPURA,2030,14443,6695.69,68.8457,77.5971,5.5629,Tinggi,-6.463,106.49
CISEENG,BABAKAN,2026,11521,5619.43,59.0314,74.79,6.2986,Sedang,-6.355,106.46
CISEENG,BABAKAN,2027,11415,5461.3,61.485,75.4918,6.1146,Sedang,-6.355,106.46
CISEENG,BABAKAN,2028,11310,6259.52,63.9386,76.1936,5.9307,Tinggi,-6.355,106.46
CISEENG,BABAKAN,2029,11205,6310.54,66.3921,76.8954,5.7468,Tinggi,-6.355,106.46
CISEENG,BABAKAN,2030,11102,6614.47,68.8457,77.5971,5.5629,Tinggi,-6.355,106.46
BABAKAN MADANG,BABAKAN MADANG,2026,10631,4330.91,59.0314,74.79,6.2986,Rendah,-6.511,106.85
BABAKAN MADANG,BABAKAN MADANG,2027,10871,4728.04,61.485,75.4918,6.1146,Rendah,-6.511,106.85
BABAKAN MADANG,BABAKAN MADANG,2028,11117,5208.5,63.9386,76.1936,5.9307,Sedang,-6.511,106.85
BABAKAN MADANG,BABAKAN MADANG,2029,11368,5540.18,66.3921,76.8954,5.7468,Sedang,-6.511,106.85
BABAKAN MADANG,BABAKAN MADANG,2030,11624,5930.83,68.8457,77.5971,5.5629,Sedang,-6.511,106.85
