nama_provinsi,nama_kabupaten,nama_kecamatan,nama_kelurahan,latitude,longitude
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,WANAHERANG,-641.534.741.831.552,106.944.725.652.308
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,BOJONG KULUR,-63.199.296.884.839,106.968.693.891.321
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,CIANGSANA,-63.586.371.963.985,106.956.520.603.805
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,GUNUNG PUTRI,-642.877.421.459.399,106.922.346.875.011
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,BOJONG NANGKA,-642.886.459.449.679,106.924.055.401.173
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,TLAJUNG UDIK,-644.595.459.199.253,10.691.244.110.589
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,CICADAS,-643.202.740.723.859,106.928.332.782.209
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,CIKEAS UDIK,-640.543.171.832.865,106.935.465.798.453
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,NAGRAK,-661.854.995.105.859,106.856.188.360.571
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,KARANGGAN,-645.838.186.462.006,106.885.688.889.531
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,PUSPASARI,-64.753.764.986.759,106.875.366.189.273
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,CITEUREUP,-648.822.068.611.909,106.881.613.833.779
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,LEUWINUTUG,-651.410.566.102.532,106.863.292.730.976
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,TAJUR,-648.936.695.047.871,106.879.769.135.837
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,SANJA,-650.512.960.274.467,106.867.989.901.754
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,KARANG ASEM TIMUR,-649.836.260.101.087,106.878.316.699.309
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,TARIKOLOT,-649.919.209.922.278,106.891.594.804.465
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,GUNUNGSARI,-649.878.890.339.671,106.903.398.099.623
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,TANGKIL,-653.839.620.480.928,106.870.940.397.964
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,SUKAHATI,-651.482.250.255.087,106.885.486.240.243
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,HAMBALANG,-655.268.125.547.241,106.900.284.039.461
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,PASIRMUKTI,-650.925.320.481.565,106.897.496.408.182
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,GUNUNGGEULIS,-663.081.619.558.469,106.884.818.699.492
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CILEBUT TIMUR,-652.669.560.141.663,106.801.654.253.786
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CILEBUT BARAT,-653.018.383.363.828,10.679.746.821.972
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CIBANON,-66.339.304.976.846,106.850.156.786.903
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,NAGRAK,-661.854.995.105.859,106.856.188.360.571
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,SUKATANI,-661.011.409.568.753,106.839.962.297.329
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,SUKARAJA,-652.616.907.598.492,106.800.288.920.431
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CIKEAS,-659.325.340.345.282,106.844.387.503.639
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,PASIR JAMBU,-653.281.357.684.749,10.680.898.847.377
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CIMANDALA,-653.508.639.202.604,106.821.234.005.781
